device_id,os_type,control_name,expected,found
WIN-87380,Windows,Enforce Password Complexity,Enabled (Complex password),Non-compliant
WIN-87380,Windows,Enable Windows Defender Exploit Guard,Enabled,Non-compliant
WIN-87380,Windows,Disable AutoPlay for all drives,Disabled,Non-compliant
WIN-87380,Windows,Enable Windows Update Auto Download & Install,Enabled,Non-compliant
WIN-87380,Windows,Disable Windows SMBv3 Compression,Disabled,Non-compliant
WIN-87380,Windows,Disable Windows Remote Assistance,Disabled,Non-compliant
WIN-18288,Windows,Enable BitLocker Drive Encryption,Enabled,Non-compliant
WIN-18288,Windows,Enable Windows Update Auto Download & Install,Enabled,Non-compliant
WIN-18288,Windows,Enable Security Auditing,Enabled,Non-compliant
WIN-18288,Windows,Enable Windows Defender Credential Guard,Enabled,Non-compliant
WIN-18288,Windows,Enable Windows Defender Application Control,Enabled,Non-compliant
WIN-56555,Windows,Enable BitLocker Drive Encryption,Enabled,Non-compliant
WIN-56555,Windows,Enable Security Auditing,Enabled,Non-compliant
WIN-56555,Windows,Enable Audit of Privilege Use,Enabled,Non-compliant
WIN-56555,Windows,Enable Windows Defender Application Control,Enabled,Non-compliant
WIN-18818,Windows,Enforce Password Complexity,Enabled (Complex password),Non-compliant
WIN-18818,Windows,Disable SMB Signing Not Required,Enabled,Non-compliant
WIN-18818,Windows,Disable Windows Remote Management (WinRM),Disabled,Non-compliant
WIN-18818,Windows,Disable Windows Remote Assistance,Disabled,Non-compliant
WIN-18818,Windows,Enable Security Baseline for Windows 11,Enabled,Non-compliant
WIN-92294,Windows,Ensure Windows Defender Antivirus is Enabled,Enabled,Non-compliant
WIN-92294,Windows,Configure Account Lockout Policy,"Lockout threshold 10, duration 15 min",Non-compliant
WIN-92294,Windows,Enable BitLocker Drive Encryption,Enabled,Non-compliant
WIN-92294,Windows,Disable Local Administrator Account,Disabled,Non-compliant
WIN-92294,Windows,Enable Controlled Folder Access,Enabled,Non-compliant
WIN-92294,Windows,Restrict Software Installation to Admins,Enabled,Non-compliant
WIN-92294,Windows,Enable Security Baseline for Windows 11,Enabled,Non-compliant
WIN-30753,Windows,Disable SMBv1 Protocol,Disabled,Non-compliant
WIN-30753,Windows,Enable Microsoft Defender Application Guard,Enabled,Non-compliant
WIN-60952,Windows,Disable SMBv1 Protocol,Disabled,Non-compliant
WIN-60952,Windows,Enable Windows Defender Exploit Guard,Enabled,Non-compliant
WIN-60952,Windows,Disable SMB Signing Not Required,Enabled,Non-compliant
WIN-60952,Windows,Enable Windows Update Auto Download & Install,Enabled,Non-compliant
WIN-60952,Windows,Disable Guest Account,Disabled,Non-compliant
WIN-60952,Windows,Enable Security Auditing,Enabled,Non-compliant
